Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023<R>,2024<P>
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",NA,3.282581677856,0.255867660454,6.161157501528,3.51500339304,0.056790553046,2.272194965482,3.217273549176,1.444195995722,-0.270676867588,3.769810588315,1.021222475326,1.452125530875,3.00731134304,2.006948588566,3.485267412564,2.613806525765,3.459072060439,2.406647647459,1.256408014617,3.556478803741,2.859781096926
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",NA,35.438846403759,-23.313251344694,-1.096005774783,261.752362879977,-59.463739899729,-38.582520406132,8.001080497029,-35.823620629283,11.549553762812,127.570966896672,7.638574378421,-2.064553856686,12.631709252962,8.007059918798,-8.295173619217,-7.713948160284,-38.499840860063,-32.055616892078,-21.266439851724,49.89573255939,-26.330962079055
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",NA,11.594239116644,-55.589687361652,88.022908632144,-18.133385045357,5.932918259209,-49.781834682012,145.621780372559,-57.577296027586,314.90923307546,-75.919626356126,-3.871056541017,21.865781230956,-21.997015148558,10.410953447351,11.218869826295,1.461375330979,-0.006494259075,0.235407201502,6.431779101353,-10.134991481666,-1.138526252598
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,NA,0.643589998305,3.468988486168,5.662566156037,2.526481764457,0.454953899551,-7.195108271959,6.151967406833,2.706235732478,3.65990847195,1.976659107129,4.380599953124,6.494483834763,0.819497526551,2.303831967661,-0.788738403799,-0.37149267103,-8.427258453957,4.819823419306,7.517367254774,2.913081034128,-1.368895138501
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,NA,-9.670271481116,8.302000969865,-7.371514569227,28.245903268579,13.496988633591,13.620230911872,52.0651744376,23.906992007137,7.992612781446,36.500995436748,-8.742962947393,-31.036093006324,20.554332968806,9.812340234983,-34.241773901081,-11.854548762914,46.600325867382,-2.057083481504,3.72699393924,-38.708190223062,7.623180622045
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,NA,-9.670271481116,8.302000969865,-7.371514569227,28.245903268579,13.496988633591,13.620230911872,52.0651744376,23.906992007137,7.992612781446,36.500995436748,-8.742962947393,-31.036093006324,20.554332968806,9.812340234983,-34.241773901081,-11.854548762914,46.600325867382,-2.057083481504,3.72699393924,-38.708190223062,7.623180622045
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",NA,11.154377064876,0.218323560198,21.474308274379,10.876639228976,-1.508840996999,-2.037720515455,2.718482939033,-3.997106910689,2.265686386756,2.205029377061,5.735342156121,2.920862842684,0.705411254076,6.01137998055,0.897179320249,-0.86873633753,5.485223970687,-19.154405212908,-1.068504723647,-4.17125625675,0.544937473559
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,NA,10.098907131669,6.556788610407,2.276902740773,11.777463461592,13.978899004811,-14.614713550561,4.573309963299,13.127316755746,-3.890063589226,-1.843738363667,-7.384462458337,15.220728335448,0.176526888563,5.828988565801,-5.131300343299,-9.00124695427,-12.803589768556,3.770717730475,3.14085066653,-0.813842119092,-11.442153602194
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras<C1>,NA,-2.244273933026,2.650351750733,6.07578980661,-1.038184691466,-4.215255077637,-4.877807580266,6.051219486824,-1.193866262695,6.703269067586,2.126136387851,9.123695417232,5.595054851931,0.515798527452,0.685697614321,1.765580927688,2.697109455141,-9.068334026286,6.986028203608,9.23793474884,5.305148372171,0.786356215042
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,NA,1.299274654173,2.419409576468,1.980181726975,-0.353128896604,1.535174223394,-1.700041547944,3.161475414053,1.155536329113,3.676440540282,2.702201345596,3.63914453472,5.695259740905,1.072422217581,0.058394526248,5.149398444959,2.478770407007,1.139072136754,2.473842200127,3.155956187398,-4.013147153604,-0.319736277783
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,NA,9.322264444816,10.968332685378,3.878394446428,1.910237358878,13.971953013338,-1.894019693247,2.462086560439,-6.174070922422,11.152755772321,8.135986211348,8.988242194742,2.862701341282,0.594469161609,5.199056462313,4.328199491823,11.733059454209,-14.246809824403,10.217712298274,5.873798500332,-3.792264894372,-4.356710971568
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",NA,4.98942738877,-8.579558680198,5.292164439567,-11.669943364353,-17.351638505864,-11.333317981574,1.263589833746,-3.356724661641,11.057120790961,-1.624286732255,8.176739904496,-0.932939369304,3.992103085306,-11.716739420677,12.204217488295,7.066520206782,-11.820716394599,11.547992888836,-2.867509664258,-6.812748015189,-2.364851268333
"Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",NA,-1.582941805014,-0.869465195205,-1.524901252517,-5.134149751297,-12.795861764955,-4.675537345102,1.353256009849,-6.514268646518,-3.621444069629,-10.383233607714,-1.345907424169,-2.743032827277,-8.539123973797,-9.939610763164,-3.228942487424,-6.677712124343,-17.531486134919,9.414429065716,1.609205068039,1.773293779461,-19.553924754078
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,NA,3.492629176406,-18.097021759966,2.174396200424,6.262371374188,-3.880002452605,-9.583513158555,-11.14632970483,-3.890197090416,15.087843856094,-28.287744241963,5.19740320137,7.060810023873,-4.164220919058,-1.607240843644,4.693463172478,-4.013294651051,-8.005715681485,4.748123197476,4.484176714646,-3.702059400637,-5.362401867497
