Año,sector_economico_1,sector_economico_2,ta,asegurados
28/02/2023,0,3,478,478
31/03/2023,0,3,481,481
30/04/2023,0,3,495,495
31/05/2023,0,3,487,487
30/06/2023,0,3,505,505
31/07/2023,0,3,505,505
31/08/2023,0,3,504,504
30/09/2023,0,3,480,480
31/10/2023,0,3,499,499
30/11/2023,0,3,495,495
31/12/2023,0,3,450,450
31/01/2024,0,3,478,478
29/02/2024,0,3,491,491
31/03/2024,0,3,490,490
30/04/2024,0,3,509,509
31/05/2024,0,3,517,517
30/06/2024,0,3,492,492
31/07/2024,0,3,497,497
31/08/2024,0,3,488,488
30/09/2024,0,3,470,470
31/10/2024,0,3,495,495
30/11/2024,0,3,474,474
31/12/2024,0,3,418,418
31/01/2025,0,3,447,447
28/02/2025,0,3,452,452
31/03/2025,0,3,468,468
30/04/2025,0,3,482,482
31/05/2025,0,3,468,468
30/06/2025,0,3,458,458
31/07/2025,0,3,427,427
31/08/2025,0,3,416,416
30/09/2025,0,3,383,383
31/10/2025,0,3,386,386
30/11/2025,0,3,379,379
31/12/2025,0,3,365,365
31/01/2026,0,3,386,386
31/03/2010,0,4,314,
30/04/2010,0,4,301,
31/05/2010,0,4,317,
30/06/2010,0,4,331,
31/07/2010,0,4,336,
31/08/2010,0,4,312,
30/09/2010,0,4,313,
31/10/2010,0,4,319,
30/11/2010,0,4,327,
31/12/2010,0,4,324,
31/01/2011,0,4,338,
28/02/2011,0,4,323,
31/03/2011,0,4,330,
30/04/2011,0,4,328,
31/05/2011,0,4,227,
30/06/2011,0,4,214,
31/07/2011,0,4,209,
31/08/2011,0,4,204,
30/09/2011,0,4,191,
31/10/2011,0,4,189,
30/11/2011,0,4,170,
31/12/2011,0,4,175,
31/01/2012,0,4,213,
29/02/2012,0,4,243,
31/03/2012,0,4,250,
30/04/2012,0,4,248,
31/05/2012,0,4,243,
30/06/2012,0,4,238,
31/07/2012,0,4,246,
31/08/2012,0,4,245,
30/09/2012,0,4,198,
31/10/2012,0,4,190,
30/11/2012,0,4,193,
31/12/2012,0,4,193,
31/01/2013,0,4,195,
28/02/2013,0,4,198,
31/03/2013,0,4,197,
30/04/2013,0,4,198,
31/05/2013,0,4,195,
30/06/2013,0,4,187,
31/07/2013,0,4,186,
31/08/2013,0,4,190,
30/09/2013,0,4,196,
31/10/2013,0,4,193,
30/11/2013,0,4,183,
31/12/2013,0,4,180,
31/01/2014,0,4,178,
28/02/2014,0,4,176,
31/03/2014,0,4,175,
30/04/2014,0,4,181,
31/05/2014,0,4,181,
30/06/2014,0,4,184,
31/07/2014,0,4,186,
31/08/2014,0,4,181,
30/09/2014,0,4,171,
31/10/2014,0,4,164,
30/11/2014,0,4,165,
31/12/2014,0,4,171,
31/01/2015,0,4,192,
28/02/2015,0,4,199,
31/03/2015,0,4,189,
30/04/2015,0,4,185,
31/05/2015,0,4,190,
30/06/2015,0,4,190,
31/07/2015,0,4,191,
31/08/2015,0,4,193,
30/09/2015,0,4,202,
31/10/2015,0,4,178,
30/11/2015,0,4,180,
31/12/2015,0,4,201,
31/01/2016,0,4,205,
29/02/2016,0,4,205,
31/03/2016,0,4,201,
30/04/2016,0,4,194,
31/05/2016,0,4,197,
30/06/2016,0,4,196,
31/07/2016,0,4,194,
31/08/2016,0,4,188,
30/09/2016,0,4,193,
31/10/2016,0,4,197,
30/11/2016,0,4,196,
31/12/2016,0,4,196,
31/01/2017,0,4,182,
28/02/2017,0,4,184,
31/03/2017,0,4,189,
30/04/2017,0,4,198,
31/05/2017,0,4,201,
30/06/2017,0,4,203,
31/07/2017,0,4,204,
31/08/2017,0,4,209,
30/09/2017,0,4,230,
31/10/2017,0,4,231,
30/11/2017,0,4,232,
31/12/2017,0,4,229,
31/01/2018,0,4,236,
28/02/2018,0,4,233,
31/03/2018,0,4,241,
30/04/2018,0,4,240,
31/05/2018,0,4,231,
30/06/2018,0,4,235,
31/07/2018,0,4,237,
31/08/2018,0,4,236,
30/09/2018,0,4,233,
31/10/2018,0,4,233,
30/11/2018,0,4,231,
31/12/2018,0,4,228,
31/01/2019,0,4,224,
28/02/2019,0,4,229,
31/03/2019,0,4,225,
30/04/2019,0,4,222,
31/05/2019,0,4,233,
30/06/2019,0,4,228,
31/07/2019,0,4,236,
31/08/2019,0,4,232,
30/09/2019,0,4,270,
31/10/2019,0,4,270,
30/11/2019,0,4,272,
31/12/2019,0,4,275,
31/01/2020,0,4,246,
29/02/2020,0,4,250,
31/03/2020,0,4,251,
30/04/2020,0,4,240,
31/05/2020,0,4,356,
30/06/2020,0,4,734,
31/07/2020,0,4,1188,
31/08/2020,0,4,1236,
30/09/2020,0,4,1003,
31/10/2020,0,4,947,
30/11/2020,0,4,946,
31/12/2020,0,4,447,
31/01/2021,0,4,443,
28/02/2021,0,4,426,
31/03/2021,0,4,416,
30/04/2021,0,4,416,
31/05/2021,0,4,261,
30/06/2021,0,4,415,
31/07/2021,0,4,698,
31/08/2021,0,4,710,
30/09/2021,0,4,574,
31/10/2021,0,4,575,
30/11/2021,0,4,547,
31/12/2021,0,4,439,
31/01/2022,0,4,476,
28/02/2022,0,4,473,
31/03/2022,0,4,482,
30/04/2022,0,4,501,
31/05/2022,0,4,481,
30/06/2022,0,4,337,
31/07/2022,0,4,1303,
31/08/2022,0,4,1067,
30/09/2022,0,4,835,
31/10/2022,0,4,867,
30/11/2022,0,4,480,
31/12/2022,0,4,428,
31/01/2023,0,4,410,410
28/02/2023,0,4,406,406
31/03/2023,0,4,256,256
30/04/2023,0,4,259,259
31/05/2023,0,4,252,252
30/06/2023,0,4,252,252
31/07/2023,0,4,258,258
31/08/2023,0,4,274,274
30/09/2023,0,4,268,268
31/10/2023,0,4,276,276
30/11/2023,0,4,277,277
31/12/2023,0,4,277,277
31/01/2024,0,4,276,276
29/02/2024,0,4,282,282
31/03/2024,0,4,273,273
30/04/2024,0,4,267,267
31/05/2024,0,4,267,267
30/06/2024,0,4,269,269
31/07/2024,0,4,258,258
31/08/2024,0,4,237,237
30/09/2024,0,4,254,254
31/10/2024,0,4,254,254
30/11/2024,0,4,257,257
31/12/2024,0,4,254,254
31/01/2025,0,4,252,252
28/02/2025,0,4,262,262
31/03/2025,0,4,263,263
30/04/2025,0,4,324,324
31/05/2025,0,4,322,322
30/06/2025,0,4,317,317
31/07/2025,0,4,249,249
31/08/2025,0,4,234,234
30/09/2025,0,4,232,232
31/10/2025,0,4,233,233
30/11/2025,0,4,234,234
31/12/2025,0,4,233,233
31/01/2026,0,4,238,238
31/03/2010,0,5,6,
30/04/2010,0,5,6,
31/05/2010,0,5,6,
30/06/2010,0,5,6,
31/07/2010,0,5,6,
31/08/2010,0,5,6,
30/09/2010,0,5,6,
31/10/2010,0,5,6,
30/11/2010,0,5,6,
31/12/2010,0,5,6,
31/01/2011,0,5,6,
28/02/2011,0,5,6,
31/03/2011,0,5,6,
30/04/2011,0,5,6,
31/05/2011,0,5,6,
30/06/2011,0,5,6,
31/07/2011,0,5,6,
31/08/2011,0,5,6,
30/09/2011,0,5,6,
31/10/2011,0,5,5,
30/11/2011,0,5,5,
31/12/2011,0,5,5,
31/01/2012,0,5,5,
29/02/2012,0,5,4,
31/03/2012,0,5,4,
30/04/2012,0,5,4,
31/05/2012,0,5,4,
30/06/2012,0,5,4,
31/07/2012,0,5,4,
31/08/2012,0,5,4,
30/09/2012,0,5,4,
31/10/2012,0,5,4,
30/11/2012,0,5,4,
31/12/2012,0,5,4,
31/01/2013,0,5,4,
28/02/2013,0,5,5,
31/03/2013,0,5,5,
30/04/2013,0,5,5,
31/05/2013,0,5,5,
30/06/2013,0,5,5,
31/07/2013,0,5,5,
31/08/2013,0,5,5,
30/09/2013,0,5,5,
31/10/2013,0,5,5,
30/11/2013,0,5,5,
31/12/2013,0,5,5,
31/01/2014,0,5,5,
28/02/2014,0,5,5,
31/03/2014,0,5,5,
30/04/2014,0,5,6,
31/05/2014,0,5,6,
30/06/2014,0,5,11,
31/07/2014,0,5,16,
31/08/2014,0,5,17,
30/09/2014,0,5,16,
31/10/2014,0,5,16,
30/11/2014,0,5,16,
31/12/2014,0,5,16,
31/01/2015,0,5,16,
28/02/2015,0,5,18,
31/03/2015,0,5,18,
30/04/2015,0,5,18,
31/05/2015,0,5,16,
30/06/2015,0,5,22,
31/07/2015,0,5,22,
31/08/2015,0,5,22,
30/09/2015,0,5,22,
31/10/2015,0,5,23,
30/11/2015,0,5,23,
31/12/2015,0,5,23,
31/01/2016,0,5,23,
29/02/2016,0,5,21,
31/03/2016,0,5,22,
30/04/2016,0,5,21,
31/05/2016,0,5,22,
30/06/2016,0,5,21,
31/07/2016,0,5,19,
31/08/2016,0,5,20,
30/09/2016,0,5,21,
31/10/2016,0,5,21,
30/11/2016,0,5,21,
31/12/2016,0,5,21,
31/01/2017,0,5,21,
28/02/2017,0,5,21,
31/03/2017,0,5,21,
30/04/2017,0,5,21,
31/05/2017,0,5,21,
30/06/2017,0,5,23,
31/07/2017,0,5,25,
31/08/2017,0,5,26,
30/09/2017,0,5,29,
31/10/2017,0,5,30,
30/11/2017,0,5,28,
31/12/2017,0,5,28,
31/01/2018,0,5,27,
28/02/2018,0,5,27,
31/03/2018,0,5,28,
30/04/2018,0,5,28,
31/05/2018,0,5,30,
30/06/2018,0,5,30,
31/07/2018,0,5,30,
31/08/2018,0,5,29,
30/09/2018,0,5,31,
31/10/2018,0,5,32,
30/11/2018,0,5,32,
31/12/2018,0,5,31,
31/01/2019,0,5,34,
28/02/2019,0,5,34,
31/03/2019,0,5,33,
30/04/2019,0,5,33,
31/05/2019,0,5,35,
30/06/2019,0,5,35,
31/07/2019,0,5,37,
31/08/2019,0,5,35,
30/09/2019,0,5,38,
31/10/2019,0,5,37,
30/11/2019,0,5,37,
31/12/2019,0,5,35,
31/01/2020,0,5,39,
29/02/2020,0,5,40,
31/03/2020,0,5,42,
30/04/2020,0,5,41,
31/05/2020,0,5,40,
30/06/2020,0,5,40,
31/07/2020,0,5,40,
31/08/2020,0,5,40,
30/09/2020,0,5,40,
31/10/2020,0,5,41,
30/11/2020,0,5,39,
31/12/2020,0,5,43,
31/01/2021,0,5,44,
28/02/2021,0,5,44,
31/03/2021,0,5,44,
30/04/2021,0,5,44,
31/05/2021,0,5,44,
30/06/2021,0,5,44,
31/07/2021,0,5,44,
31/08/2021,0,5,45,
30/09/2021,0,5,47,
31/10/2021,0,5,48,
30/11/2021,0,5,47,
31/12/2021,0,5,49,
